"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Actr3.1",4.12429706045023e-40,-0.606822019660919,0.915,0.947,1.15472069098486e-35,"pDC","Actr3"
"Pdcd1",4.14914169591144e-40,0.383026603993827,0.162,0.031,1.16167669202128e-35,"pDC","Pdcd1"
"Rheb.1",4.17491041681434e-40,0.675381976628924,0.888,0.729,1.16889141849968e-35,"pDC","Rheb"
"Npc1.1",4.51957455421559e-40,0.459608234029986,0.388,0.143,1.26539048368928e-35,"pDC","Npc1"
"Rac1.1",4.57762583146259e-40,-0.645164324505923,0.818,0.926,1.2816436802929e-35,"pDC","Rac1"
"Rps16.4",5.48977526544263e-40,0.378649412267397,1,0.999,1.53702727881863e-35,"pDC","Rps16"
"Psme2.4",5.79451777803856e-40,-0.978447918786307,0.956,0.97,1.62234908749524e-35,"pDC","Psme2"
"Rpl26.3",9.57438757858375e-40,0.377766802667408,1,0.999,2.68063703425188e-35,"pDC","Rpl26"
"Cfp.5",1.02481739100735e-39,0.670059085267179,0.8,0.49,2.86928373134238e-35,"pDC","Cfp"
"Agpat4.3",1.13558974700901e-39,-0.900185636586775,0.156,0.522,3.17942417367582e-35,"pDC","Agpat4"
"Nap1l1.2",1.26053877725345e-39,-0.930591932929639,0.621,0.814,3.52925646855422e-35,"pDC","Nap1l1"
"Rgs10.3",1.54328396990243e-39,-0.915612133629543,0.644,0.839,4.32088645893282e-35,"pDC","Rgs10"
"Tespa1",1.9358634104317e-39,0.272367235469593,0.224,0.056,5.42003037652667e-35,"pDC","Tespa1"
"Pmepa1.2",3.20789782514457e-39,0.641896349545054,0.515,0.23,8.98147233083977e-35,"pDC","Pmepa1"
"Cnp.3",6.11580309419841e-39,0.639295910087823,0.579,0.301,1.71230255031367e-34,"pDC","Cnp"
"Nr2c2ap",6.31810156363012e-39,0.536347261995064,0.479,0.215,1.76894207578516e-34,"pDC","Nr2c2ap"
"Chd7.3",8.15792230872621e-39,-0.898087520202695,0.224,0.569,2.28405508799716e-34,"pDC","Chd7"
"B4galnt1.2",1.45868971608655e-38,0.664609620264747,0.765,0.488,4.08403946709913e-34,"pDC","B4galnt1"
"Ypel3.3",1.94975369428285e-38,0.661295772265813,0.694,0.403,5.45892039325314e-34,"pDC","Ypel3"
"Phc1",2.08720540789338e-38,0.350847636079714,0.253,0.071,5.8437577010199e-34,"pDC","Phc1"
"Mnda.5",2.59088613267389e-38,-1.05028997321704,0.115,0.466,7.25396299426037e-34,"pDC","Mnda"
"5430427O19Rik",2.66307798750798e-38,0.512498161523591,0.388,0.15,7.45608574942484e-34,"pDC","5430427O19Rik"
"Hck.4",2.81704592811534e-38,0.920597477723336,0.847,0.644,7.88716518953732e-34,"pDC","Hck"
"Cd63.4",3.42620033149325e-38,-2.01582564831977,0.3,0.609,9.5926756881148e-34,"pDC","Cd63"
"Trp53i13",3.60423852171107e-38,0.381424611419729,0.276,0.085,1.00911470130866e-33,"pDC","Trp53i13"
"Eef1g.3",3.72500355853834e-38,0.508729155235047,0.985,0.915,1.04292649631956e-33,"pDC","Eef1g"
"Lztfl1",3.86326707615397e-38,0.738465264116697,0.429,0.188,1.08163751598159e-33,"pDC","Lztfl1"
"Basp1.3",4.16276364236039e-38,-1.03751440237111,0.453,0.739,1.16549056458806e-33,"pDC","Basp1"
"Prps2",4.97183273899684e-38,0.442799152610096,0.374,0.141,1.39201373026434e-33,"pDC","Prps2"
"Glipr2.5",6.65001422933086e-38,-1.32042569695543,0.188,0.53,1.86187098392805e-33,"pDC","Glipr2"
"Rnh1.4",7.27325950341376e-38,-0.943248735714059,0.679,0.837,2.03636719576578e-33,"pDC","Rnh1"
"Gm10116.3",7.97698334610117e-38,-0.878688989747006,0.565,0.796,2.23339579724141e-33,"pDC","Gm10116"
"Klrk1.2",9.29913154809925e-38,-0.937744479265308,0.156,0.501,2.60357085083683e-33,"pDC","Klrk1"
"Rps17.4",1.1249890390263e-37,0.453720839137543,1,0.989,3.14974431146583e-33,"pDC","Rps17"
"Shisa5.3",1.73566625413061e-37,0.830727000086949,0.918,0.791,4.85951837831487e-33,"pDC","Shisa5"
"Rap1b.2",2.07854004629067e-37,-0.650694114884193,0.797,0.91,5.81949642160462e-33,"pDC","Rap1b"
"App.2",2.78791428415129e-37,-0.733304058171245,0.188,0.543,7.80560241276679e-33,"pDC","App"
"Rps8.4",2.83741476438477e-37,0.411060983806697,1,0.997,7.94419385732447e-33,"pDC","Rps8"
"Elf1",3.8342865169297e-37,0.663257635669321,0.612,0.344,1.07352353900998e-32,"pDC","Elf1"
"Pfn1.4",4.70852717522669e-37,-0.505553565777775,1,0.999,1.31829343851997e-32,"pDC","Pfn1"
"Adk",5.66875170572171e-37,0.294919069073592,0.212,0.054,1.58713710256796e-32,"pDC","Adk"
"Ift57.3",1.1647873929048e-36,0.517889973272331,0.518,0.238,3.26117174265486e-32,"pDC","Ift57"
"Batf3.4",1.32163087215866e-36,-0.881341721658662,0.141,0.495,3.70030211586982e-32,"pDC","Batf3"
"Fam234b",1.41342237688441e-36,0.253129558993774,0.185,0.043,3.95729997080096e-32,"pDC","Fam234b"
"Uvrag.2",2.01234917663658e-36,0.608630661500203,0.721,0.444,5.6341752247471e-32,"pDC","Uvrag"
"Rps27rt.1",2.09085435214765e-36,0.541051284522924,0.947,0.841,5.85397401514298e-32,"pDC","Rps27rt"
"Metrnl.3",2.38156552442406e-36,-0.877404917156331,0.138,0.487,6.66790715528248e-32,"pDC","Metrnl"
"Arid5a.1",2.48469535523208e-36,0.519883614094262,0.556,0.271,6.95665005557879e-32,"pDC","Arid5a"
"mt-Nd1.5",2.54278166563889e-36,0.544665929444948,0.994,0.93,7.11928010745575e-32,"pDC","mt-Nd1"
"Cd40.4",2.55623871497223e-36,-1.02486831556884,0.238,0.572,7.15695715417926e-32,"pDC","Cd40"
"Cd2",2.86456572548442e-36,0.465315587909432,0.182,0.041,8.02021111821128e-32,"pDC","Cd2"
"mt-Co2.3",2.97764594272746e-36,0.400335509969394,1,0.985,8.33681311044834e-32,"pDC","mt-Co2"
"Sp100.2",5.7608203387815e-36,0.649831390862192,0.835,0.583,1.61291447845204e-31,"pDC","Sp100"
"Rps7.4",1.01288947613607e-35,0.385487425486752,1,0.998,2.83588795528577e-31,"pDC","Rps7"
"Tnfrsf13b",1.05298443747767e-35,0.555894884801215,0.429,0.187,2.94814582804999e-31,"pDC","Tnfrsf13b"
"Cct5.1",1.0842534187182e-35,0.613122756460044,0.856,0.692,3.03569272172722e-31,"pDC","Cct5"
"Rbms1",1.40197520299847e-35,-0.678404008916871,0.253,0.592,3.92525017335511e-31,"pDC","Rbms1"
"Irf7.4",1.60124340956361e-35,0.685028888837254,0.924,0.708,4.48316129809619e-31,"pDC","Irf7"
"Plp2.3",1.73431369771727e-35,0.560068107269743,0.665,0.369,4.85573149086881e-31,"pDC","Plp2"
"Uchl3.1",1.91909807900938e-35,0.493662832103281,0.615,0.33,5.37309080161046e-31,"pDC","Uchl3"
"Ly86.4",2.13388141794524e-35,0.575560380968658,0.929,0.709,5.97444119396309e-31,"pDC","Ly86"
"Capzb",2.3455625398536e-35,-0.531930699265059,0.903,0.941,6.56710599908211e-31,"pDC","Capzb"
"Prkag2",3.06561656784545e-35,0.287031888446857,0.206,0.053,8.5831132666537e-31,"pDC","Prkag2"
"Txn1.2",4.97836406714639e-35,-0.927078537471381,0.941,0.968,1.39384237151964e-30,"pDC","Txn1"
"Ctsh.3",5.67403406845269e-35,0.51100782619124,0.994,0.951,1.58861605848538e-30,"pDC","Ctsh"
"Ptpn6.4",6.30433134047683e-35,0.611070908708254,0.947,0.774,1.7650866887067e-30,"pDC","Ptpn6"
"Med10.1",7.64494254610528e-35,0.642453081127755,0.709,0.466,2.14043101405856e-30,"pDC","Med10"
"Eif3f.3",1.02559751041621e-34,0.476026140366857,0.976,0.934,2.87146790966332e-30,"pDC","Eif3f"
"Fam107b.2",1.16988616546658e-34,0.506543388371476,0.632,0.341,3.27544728607334e-30,"pDC","Fam107b"
"Ckb.5",1.35713326071688e-34,-1.24201684956843,0.335,0.618,3.79970170335511e-30,"pDC","Ckb"
"Csf2rb2",1.5354214281683e-34,0.578612295875541,0.562,0.287,4.29887291458559e-30,"pDC","Csf2rb2"
"Sh3bgrl.1",1.61820776732283e-34,-0.697900984694379,0.324,0.644,4.53065810695045e-30,"pDC","Sh3bgrl"
"Kmt2e",1.80921122144356e-34,0.654973045115781,0.694,0.443,5.06542957779767e-30,"pDC","Kmt2e"
"Abhd17a",1.8371648084279e-34,0.561713178759569,0.55,0.294,5.14369403063643e-30,"pDC","Abhd17a"
"Ppif",2.6488890383263e-34,0.447973489293675,0.3,0.105,7.41635952950597e-30,"pDC","Ppif"
"Rpl21.4",2.66078944145786e-34,0.368181931595751,1,0.997,7.44967827819372e-30,"pDC","Rpl21"
"Tmed3.2",3.48166957102562e-34,0.575493458848215,0.8,0.561,9.74797846495752e-30,"pDC","Tmed3"
"Hnrnpa1.2",7.5070729804307e-34,0.555387003224544,0.929,0.737,2.10183029306099e-29,"pDC","Hnrnpa1"
"Ifi205.4",1.11507569968115e-33,-1.14980769579468,0.091,0.419,3.12198894396727e-29,"pDC","Ifi205"
"Ucp2.4",1.16754950999788e-33,-0.705836375701284,0.841,0.916,3.26890511809207e-29,"pDC","Ucp2"
"Tle1",1.39593739309139e-33,0.331980306967314,0.238,0.071,3.90834551317727e-29,"pDC","Tle1"
"Gyg.5",1.40030068965288e-33,-1.1243897586825,0.171,0.49,3.92056187089013e-29,"pDC","Gyg"
"Zmynd15.4",1.52039328167677e-33,-1.62311327848859,0.129,0.447,4.25679711003862e-29,"pDC","Zmynd15"
"Dclre1c",1.84693756586592e-33,0.333839750952359,0.309,0.106,5.17105579691141e-29,"pDC","Dclre1c"
"Bmyc.1",2.11332163005009e-33,0.538701313756875,0.524,0.264,5.91687789981424e-29,"pDC","Bmyc"
"Fabp5.4",2.59414052233994e-33,-2.30502699797806,0.712,0.847,7.26307463444735e-29,"pDC","Fabp5"
"Zbtb10",2.64359479936537e-33,0.31474681068836,0.244,0.072,7.40153671926316e-29,"pDC","Zbtb10"
"Lbr",2.97401454657973e-33,0.403578755272914,0.4,0.166,8.32664592751391e-29,"pDC","Lbr"
"H2-T22.4",3.0427363677296e-33,0.60912826741079,0.909,0.744,8.51905328236932e-29,"pDC","H2-T22"
"Gng5.3",3.85126688364512e-33,-0.501941355087265,0.962,0.983,1.07827770208296e-28,"pDC","Gng5"
"Rab33b",4.57538096077558e-33,0.276006009378503,0.182,0.045,1.28101516139795e-28,"pDC","Rab33b"
"Tmem106a.3",5.18978117686763e-33,-0.742977046005675,0.185,0.508,1.4530349338994e-28,"pDC","Tmem106a"
"Rpia",6.12740476496448e-33,0.590831445702215,0.362,0.148,1.71555078609475e-28,"pDC","Rpia"
"Rab27a",7.03190543508834e-33,0.329668005165245,0.218,0.061,1.96879288371603e-28,"pDC","Rab27a"
"Rps24.3",1.00117495491266e-32,0.316579363506518,1,1,2.80308963876448e-28,"pDC","Rps24"
"Mxd1.5",1.2190343947719e-32,-0.953279705990407,0.318,0.618,3.41305249848238e-28,"pDC","Mxd1"
"Sox4.1",1.33606605159884e-32,0.406707770177732,0.176,0.042,3.74071773126644e-28,"pDC","Sox4"
"Ppp1r11.2",1.54060648419397e-32,0.529371703305849,0.9,0.703,4.31339003444629e-28,"pDC","Ppp1r11"
"Trim11",1.72511325175307e-32,0.404082647271801,0.368,0.148,4.82997208225824e-28,"pDC","Trim11"
"Tgfbr2.1",1.79908879248792e-32,0.380809176086342,0.356,0.137,5.03708880120768e-28,"pDC","Tgfbr2"
"Tmem50a.2",1.97267728127931e-32,0.544813076128918,0.885,0.686,5.52310185212581e-28,"pDC","Tmem50a"
"Brd3",2.2780558538421e-32,0.37279602350133,0.294,0.103,6.37810077958712e-28,"pDC","Brd3"
"Anxa1.3",2.32500030992068e-32,-0.920904387925441,0.106,0.43,6.50953586771593e-28,"pDC","Anxa1"
"C130026I21Rik",2.8200799786013e-32,0.385401164699545,0.409,0.169,7.89565992408792e-28,"pDC","C130026I21Rik"
"Spsb2",3.06038208710624e-32,0.5531221243988,0.312,0.117,8.56845776748004e-28,"pDC","Spsb2"
"Il1rn.5",3.51332160022917e-32,-1.78416201104749,0.4,0.645,9.83659781632162e-28,"pDC","Il1rn"
"Rpl3.5",4.52511933440448e-32,0.433927036430488,1,0.977,1.26694291124657e-27,"pDC","Rpl3"
"Capg.5",4.59967078090389e-32,0.343167323064171,0.735,0.413,1.28781582523747e-27,"pDC","Capg"
"Panx1",4.61156410457181e-32,0.296610365000288,0.238,0.073,1.29114571799801e-27,"pDC","Panx1"
"Fdps.3",6.45575857601349e-32,0.893087720436225,0.624,0.389,1.80748328611226e-27,"pDC","Fdps"
"Ms4a6d.5",7.10654334881524e-32,-1.32126316335672,0.238,0.53,1.98969000680129e-27,"pDC","Ms4a6d"
"mt-Nd4.3",8.10311558868989e-32,0.486384119453731,0.994,0.896,2.26871030252139e-27,"pDC","mt-Nd4"
"Smad7",9.35227695933176e-32,0.466794765319478,0.485,0.233,2.61845050307371e-27,"pDC","Smad7"
"Rpl10.3",1.06037604461294e-31,0.356670279651633,1,0.999,2.96884084970732e-27,"pDC","Rpl10"
